playlist_genre,track_artist,track_href,uri,track_album_name,analysis_url,track_id,track_name,track_album_release_date,track_album_id,duration_ms,id
ambient,Olivia Rodrigo,https://api.spotify.com/v1/tracks/17cia5k4BpGVlyEfqrFH50,spotify:track:17cia5k4BpGVlyEfqrFH50,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),https://api.spotify.com/v1/audio-analysis/17cia5k4BpGVlyEfqrFH50,17cia5k4BpGVlyEfqrFH50,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,17-11-2023,2yHTMVFGHODKJOjVL1hLgk,205484,17cia5k4BpGVlyEfqrFH50
ambient,Gracie Abrams,https://api.spotify.com/v1/tracks/35IcAVSMsU9qzHfpPbvC8A,spotify:track:35IcAVSMsU9qzHfpPbvC8A,This Is What It Feels Like,https://api.spotify.com/v1/audio-analysis/35IcAVSMsU9qzHfpPbvC8A,35IcAVSMsU9qzHfpPbvC8A,Feels Like,12-11-2021,7l2g05NyprwonSFIs2y8at,152318,35IcAVSMsU9qzHfpPbvC8A
ambient,Tom Odell,https://api.spotify.com/v1/tracks/0uvagCBJC0ClsR11W10T0Y,spotify:track:0uvagCBJC0ClsR11W10T0Y,Black Friday,https://api.spotify.com/v1/audio-analysis/0uvagCBJC0ClsR11W10T0Y,0uvagCBJC0ClsR11W10T0Y,Black Friday,26-01-2024,0OTRd577BEHU8WNfrJ24aB,221510,0uvagCBJC0ClsR11W10T0Y
ambient,Billie Eilish,https://api.spotify.com/v1/tracks/4ak9GGe6afmi2HbxEjvhIC,spotify:track:4ak9GGe6afmi2HbxEjvhIC,Happier Than Ever,https://api.spotify.com/v1/audio-analysis/4ak9GGe6afmi2HbxEjvhIC,4ak9GGe6afmi2HbxEjvhIC,Male Fantasy,30-07-2021,0JGOiO34nwfUdDrD612dOp,194887,4ak9GGe6afmi2HbxEjvhIC
ambient,Hozier,https://api.spotify.com/v1/tracks/1C042FLYy7rP3MfnkOcnha,spotify:track:1C042FLYy7rP3MfnkOcnha,Hozier (Expanded Edition),https://api.spotify.com/v1/audio-analysis/1C042FLYy7rP3MfnkOcnha,1C042FLYy7rP3MfnkOcnha,Cherry Wine - Live,19-09-2014,4Pv7m8D82A1Xun7xNCKZjJ,240147,1C042FLYy7rP3MfnkOcnha
ambient,Leith Ross,https://api.spotify.com/v1/tracks/4Do3s3aivnqbUAvUEDEsAG,spotify:track:4Do3s3aivnqbUAvUEDEsAG,To Learn,https://api.spotify.com/v1/audio-analysis/4Do3s3aivnqbUAvUEDEsAG,4Do3s3aivnqbUAvUEDEsAG,We'll Never Have Sex,19-05-2023,5k6lsjpZK4l4J9oMQmBR1l,100716,4Do3s3aivnqbUAvUEDEsAG
ambient,"Lana Del Rey, Bleachers",https://api.spotify.com/v1/tracks/1o82DwNisONAd2mu1RcGE6,spotify:track:1o82DwNisONAd2mu1RcGE6,Did you know that there's a tunnel under Ocean Blvd,https://api.spotify.com/v1/audio-analysis/1o82DwNisONAd2mu1RcGE6,1o82DwNisONAd2mu1RcGE6,Margaret (feat. Bleachers),24-03-2023,5HOHne1wzItQlIYmLXLYfZ,339891,1o82DwNisONAd2mu1RcGE6
ambient,David Kushner,https://api.spotify.com/v1/tracks/5iu3rl4feYeRgR1DW0ydNU,spotify:track:5iu3rl4feYeRgR1DW0ydNU,Footprints I Found,https://api.spotify.com/v1/audio-analysis/5iu3rl4feYeRgR1DW0ydNU,5iu3rl4feYeRgR1DW0ydNU,Miserable Man,16-09-2022,5bXx1ncSvWPtNAuecQgsHf,232992,5iu3rl4feYeRgR1DW0ydNU
ambient,Billie Eilish,https://api.spotify.com/v1/tracks/5XsAal7ZcWg1I5T4NcRjkv,spotify:track:5XsAal7ZcWg1I5T4NcRjkv,Happier Than Ever,https://api.spotify.com/v1/audio-analysis/5XsAal7ZcWg1I5T4NcRjkv,5XsAal7ZcWg1I5T4NcRjkv,Halley's Comet,30-07-2021,0JGOiO34nwfUdDrD612dOp,234761,5XsAal7ZcWg1I5T4NcRjkv
hip-hop,Juice WRLD,https://api.spotify.com/v1/tracks/4VXIryQMWpIdGgYR4TrjT1,spotify:track:4VXIryQMWpIdGgYR4TrjT1,Goodbye & Good Riddance,https://api.spotify.com/v1/audio-analysis/4VXIryQMWpIdGgYR4TrjT1,4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,10-12-2018,6tkjU4Umpo79wwkgPMV3nZ,165820,4VXIryQMWpIdGgYR4TrjT1
